Model,Dataset,Accuracy,Size
llama-32-3B-en-Q4_K_M,andreanasuto/mig-en-L3,0.8426666666666667,1125
llama-32-3B-en-Q4_K_M,andreanasuto/mig-es-L3,0.6626666666666666,750
llama-32-3B-en-Q4_K_M,andreanasuto/mig-multi-L3,0.7344761904761905,2625
llama-32-3B-en-Q4_K_M,andreanasuto/mig-ar-L3,0.64,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-de-L3,0.5866666666666667,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-fr-L3,0.5333333333333333,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-hi-L3,0.8133333333333334,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-hu-L3,0.5333333333333333,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-in-L3,0.8133333333333334,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-it-L3,0.5733333333333334,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-pt-L3,0.8,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-tr-L3,0.6133333333333333,75
llama-32-3B-en-Q4_K_M,andreanasuto/mig-pl-L3,0.56,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-en-L3,0.6551111111111111,1125
llama-32-3B-es-Q4_K_M,andreanasuto/mig-es-L3,0.752,750
llama-32-3B-es-Q4_K_M,andreanasuto/mig-multi-L3,0.6826666666666666,2625
llama-32-3B-es-Q4_K_M,andreanasuto/mig-ar-L3,0.6,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-de-L3,0.5333333333333333,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-fr-L3,0.48,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-hi-L3,0.8,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-hu-L3,0.6,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-in-L3,0.8666666666666667,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-it-L3,0.5733333333333334,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-pt-L3,0.7466666666666667,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-tr-L3,0.6133333333333333,75
llama-32-3B-es-Q4_K_M,andreanasuto/mig-pl-L3,0.49333333333333335,75
llama-32-3B-es,andreanasuto/mig-en-L3,0.6924444444444444,1125
llama-32-3B-es,andreanasuto/mig-es-L3,0.7826666666666666,750
llama-32-3B-es,andreanasuto/mig-multi-L3,0.7127619047619047,2625
llama-32-3B-es,andreanasuto/mig-ar-L3,0.6266666666666667,75
